Gene	Tau	Classification	Specific_parts
Glyma.01G054200	0.2096859546310431	Broad	NA
Glyma.01G054300	0.24700008038210597	Broad	NA
Glyma.01G054400	0.42545298990547037	Broad	NA
Glyma.01G054500	0.5638448990414104	Broad	NA
Glyma.01G054800	0.3022133286257568	Broad	NA
Glyma.01G054950	0.5716059741862188	Broad	NA
Glyma.01G055300	0.25188053683964917	Broad	NA
Glyma.01G055400	0.5073272349886808	Broad	NA
Glyma.01G055500	0.3284728810049751	Broad	NA
Glyma.01G055900	0.3075370874285766	Broad	NA
Glyma.01G056100	0.5074022678037429	Broad	NA
Glyma.01G056300	0.31340805676040634	Broad	NA
Glyma.01G056400	0.7149988884854896	Broad	NA
Glyma.01G056800	0.6663142017483408	Broad	NA
Glyma.01G056900	0.7413744244872277	Broad	NA
Glyma.01G057100	0.37763437481236073	Broad	NA
Glyma.01G057400	0.2248108275096093	Broad	NA
Glyma.01G057500	0.4889772321917553	Broad	NA
Glyma.01G057700	0.5846241282571325	Broad	NA
Glyma.01G058000	0.2783360342635502	Broad	NA
Glyma.01G058100	0.7467412661882364	Broad	NA
Glyma.01G058200	0.24676358970562046	Broad	NA
Glyma.01G058300	0.24211672706824844	Broad	NA
Glyma.01G058400	0.7300252516357936	Broad	NA
Glyma.01G058500	0.48122729462860697	Broad	NA
Glyma.01G058600	0.4320891115449462	Broad	NA
Glyma.01G059100	0.5030039720846644	Broad	NA
Glyma.01G059200	0.3258855064863668	Broad	NA
Glyma.01G060300	0.5675630748808951	Broad	NA
Glyma.01G060700	0.23955937454164383	Broad	NA
Glyma.01G060900	0.18667558959765382	Broad	NA
Glyma.01G061000	0.6964093331958515	Broad	NA
Glyma.01G061100	0.6895447056769051	Broad	NA
Glyma.01G061500	0.31266277417130006	Broad	NA
Glyma.01G061700	0.2960802454045781	Broad	NA
Glyma.01G061800	0.6317695884130108	Broad	NA
Glyma.01G062000	0.2417799367211482	Broad	NA
Glyma.01G062100	0.4773970669349315	Broad	NA
Glyma.01G062300	0.4758227294100197	Broad	NA
Glyma.01G062400	0.8465591081324374	Broad	NA
Glyma.01G063000	0.2816851468337774	Broad	NA
Glyma.01G063100	0.613830380907236	Broad	NA
Glyma.01G063600	0.38370642925690146	Broad	NA
Glyma.01G063700	0.6395783984687473	Broad	NA
Glyma.01G063800	0.8270973908268384	Broad	NA
Glyma.01G064400	0.26814271316277843	Broad	NA
Glyma.01G064600	0.5642873716188749	Broad	NA
Glyma.01G064900	0.44627731412304605	Broad	NA
Glyma.01G065100	0.1941307011993284	Broad	NA
Glyma.01G065400	0.8066254043307018	Broad	NA
Glyma.01G066600	0.22549101870722885	Broad	NA
Glyma.01G067000	0.2742292290166338	Broad	NA
